image_ids,Best Asymmetry,Mean Asymmetry,Red1,Red2,White,Black,Light brown,Dark brown,Blue gray,Has Veil?
image1,3.0,3.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image2,1.0,1.066,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image3,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image4,1.0,2.467,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image5,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image6,1.0,2.268,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
image7,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
image8,2.0,2.867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image9,1.0,2.4,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image10,2.0,2.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image11,1.0,1.333,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
image12,1.0,1.4,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
image13,1.0,2.133,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
image14,2.0,2.934,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image15,3.0,3.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0
image16,2.0,2.732,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
image17,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
image18,2.0,2.934,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image19,1.0,2.732,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
image20,2.0,2.467,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
image21,1.0,2.268,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image22,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image23,1.0,2.867,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image24,1.0,2.334,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
image25,1.0,1.667,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image26,2.0,2.934,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image27,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image28,1.0,2.467,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image29,2.0,2.666,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image30,1.0,2.6,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
image31,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image32,3.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image33,1.0,2.533,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
image34,1.0,1.6,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image35,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image36,1.0,2.334,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image37,1.0,2.8,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
image38,1.0,2.533,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image39,1.0,1.866,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image40,1.0,2.4,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image41,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image42,1.0,2.2,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image43,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image44,2.0,2.934,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
image45,1.0,2.268,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
image46,1.0,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image47,1.0,2.467,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image48,1.0,1.066,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
image49,1.0,2.533,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image50,1.0,2.8,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image51,1.0,2.666,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
image52,1.0,1.2,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image53,1.0,2.467,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image54,1.0,1.8,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image55,2.0,2.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
image56,1.0,2.467,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
image57,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image58,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image59,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image60,3.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
image61,1.0,2.467,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image62,1.0,1.533,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image63,2.0,2.268,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image64,1.0,1.066,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
image65,2.0,2.666,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image66,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image67,2.0,2.732,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
image68,1.0,2.334,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image69,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image70,1.0,2.467,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image71,1.0,2.533,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
image72,3.0,3.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
image73,1.0,2.6,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image74,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
image75,2.0,2.6,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
image76,2.0,2.732,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
image77,2.0,2.867,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image78,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0
image79,3.0,3.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
